Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Bonus_Ball
05/03/2011,2,17,19,21,26,31,6
08/03/2011,2,7,8,9,13,28,3
12/03/2011,3,7,14,17,18,20,1
15/03/2011,4,11,18,19,22,28,2
19/03/2011,8,10,17,19,24,32,3
22/03/2011,4,5,7,8,15,33,7
26/03/2011,8,12,13,19,23,29,3
29/03/2011,6,13,21,23,24,29,1
02/04/2011,6,14,16,19,21,30,2
05/04/2011,5,6,8,12,29,35,7
09/04/2011,6,16,18,22,26,31,7
12/04/2011,5,12,17,19,24,34,2
16/04/2011,7,8,11,13,15,28,1
20/04/2011,12,13,15,26,28,36,4
23/04/2011,10,14,19,20,23,34,5
27/04/2011,3,14,17,24,30,35,4
30/04/2011,3,4,19,23,27,33,6
03/05/2011,5,11,13,14,34,36,4
07/05/2011,1,12,14,20,21,29,2
11/05/2011,4,8,12,14,22,24,4
14/05/2011,10,16,21,23,35,37,7
17/05/2011,3,12,15,16,27,34,2
21/05/2011,2,16,17,31,35,36,5
24/05/2011,7,12,18,23,34,36,4
28/05/2011,6,10,16,19,27,32,5
31/05/2011,2,9,20,22,23,33,2
04/06/2011,5,9,12,16,20,26,1
08/06/2011,8,11,13,16,32,37,7
11/06/2011,2,8,12,17,26,35,7
14/06/2011,1,3,4,18,24,26,3
18/06/2011,4,16,19,29,30,32,6
21/06/2011,5,16,19,25,28,34,2
25/06/2011,6,10,16,20,23,30,1
28/06/2011,21,24,30,32,36,37,4
02/07/2011,4,11,17,24,25,30,3
05/07/2011,1,6,19,23,33,37,3
09/07/2011,3,11,15,17,22,23,1
12/07/2011,1,2,9,21,22,36,3
16/07/2011,7,11,17,21,23,37,2
19/07/2011,1,16,20,24,29,36,5
23/07/2011,15,17,23,24,27,31,2
26/07/2011,1,4,11,26,28,34,7
30/07/2011,1,5,13,24,30,37,6
02/08/2011,7,10,14,18,20,36,2
06/08/2011,1,2,10,15,25,32,6
09/08/2011,9,15,17,18,25,26,3
13/08/2011,4,7,12,18,20,36,1
16/08/2011,4,6,8,32,35,37,1
20/08/2011,17,18,24,30,36,37,2
23/08/2011,16,17,21,28,33,37,4
27/08/2011,8,12,15,23,34,35,3
30/08/2011,1,2,3,5,22,28,5
03/09/2011,9,16,18,20,21,25,6
06/09/2011,6,7,12,18,25,26,1
10/09/2011,10,11,14,19,20,29,2
13/09/2011,15,19,29,31,34,35,7
17/09/2011,15,18,21,29,31,34,6
20/09/2011,9,13,16,17,34,35,5
24/09/2011,4,15,16,17,35,37,3
27/09/2011,3,5,10,11,34,36,6
02/10/2011,12,16,24,29,33,35,2
04/10/2011,5,8,10,16,19,31,7
09/10/2011,3,9,12,17,24,30,2
11/10/2011,1,3,4,7,20,34,3
15/10/2011,7,12,15,27,33,37,3
18/10/2011,2,4,17,20,26,34,4
23/10/2011,9,18,20,31,32,37,3
25/10/2011,10,13,20,35,36,37,1
29/10/2011,2,7,9,14,23,24,6
01/11/2011,2,15,17,18,20,34,2
05/11/2011,6,15,20,25,28,30,5
08/11/2011,1,2,14,15,18,32,1
12/11/2011,3,12,16,21,26,36,1
15/11/2011,2,4,5,7,24,33,1
19/11/2011,15,19,22,29,33,37,7
22/11/2011,15,16,20,24,28,35,6
26/11/2011,2,7,10,20,23,32,7
29/11/2011,12,21,25,27,29,31,2
03/12/2011,7,8,20,26,30,34,2
06/12/2011,6,13,15,17,19,35,3
11/12/2011,3,10,23,27,32,37,6
13/12/2011,2,4,5,11,15,24,7
17/12/2011,6,7,22,30,31,36,6
20/12/2011,4,16,21,26,28,30,2
24/12/2011,1,3,13,14,17,36,5
27/12/2011,5,6,7,12,33,36,7
31/12/2011,2,3,8,15,19,34,6
03/01/2012,7,25,27,31,32,34,7
05/01/2012,3,23,25,28,29,33,4
07/01/2012,1,2,20,21,25,28,1
10/01/2012,7,10,16,21,25,28,5
14/01/2012,5,10,14,25,27,33,2
17/01/2012,2,19,22,25,26,28,3
21/01/2012,14,16,27,28,32,36,5
24/01/2012,3,10,15,24,28,37,4
